"ID1","ID2","user","result","date"
"IR-0000024","IR-0000033","kappa","Very similar","2019-10-27T23:26:07.254Z"
"IR-0000007","IR-0000005","kappa","Somewhat similar","2019-10-27T23:26:10.349Z"
"IR-0000007","IR-0000008","kappa","Very similar","2019-10-27T23:26:13.719Z"
"IR-0000026","IR-0000023","kappa","Nearly identical","2019-10-27T23:26:15.844Z"
"IR-0000024","IR-0000005","kappa","Very similar","2019-10-28T05:31:56.438Z"
"IR-0000026","IR-0000022","kappa","Not at all similar","2019-10-28T19:40:25.071Z"
"IR-0000025","IR-0000023","kappa","Not at all similar","2019-10-28T19:40:31.360Z"
"IR-0000024","IR-0000033","kappa","Not at all similar","2019-10-28T20:34:18.444Z"
"IR-0000007","IR-0000005","kappa","Not at all similar","2019-10-28T20:35:10.211Z"
"IR-0000024","IR-0000033","kappa","Nearly identical","2019-10-28T20:36:43.694Z"
"IR-0000024","IR-0000005","kappa","Nearly identical","2019-10-28T20:39:47.215Z"
"IR-0000024","IR-0000005","kappa","Nearly identical","2019-10-28T20:45:33.264Z"
"IR-0000024","IR-0000033","kappa","Very similar","2019-10-28T20:46:55.636Z"
